芳草街6号127.6平210万|210|127|王府花园|3室2厅
高新芳草，二环快速公交站旁，祥和园小区，不临街|113|110|祥和园|3室1厅
梧桐世家 方正套二 有装修 有家具 随时看房|140|88|梧桐世家一期|2室2厅
电梯套三带两个大车位  中庭不临街  南北朝向 |275|138|上海花园|3室2厅
天府欣苑西区高楼层，装修带车位。|470|189|天府欣苑西区|4室2厅
四季家园 方正套三 低楼层 不临街|150|122|四季家园|3室2厅
世豪瑞丽标准套二 业主自住装修 看房方便|156|81|世豪瑞丽|2室2厅
天鹅湖花园  一楼带花园  装修套四三卫  主卧带衣帽间|340|325|天鹅湖花园|4室2厅
华敏世家花园5室2厅1厨6卫清水房 户型方正 |550|344|华敏世家花园|5室2厅
逸都国际 朝南套三对中庭 自住装修 给你温馨的家房主自荐|221|120|逸都国际|3室2厅
朝南带阳台，两房一厨一卫户型。新上|160|89|南城都汇汇智园二期|2室2厅
丹桂苑，简单装修套三双卫，中间楼层新上|155|118|丹桂苑|3室2厅
中德A区套二装修房，诚心出售。新上|110|66|中德英伦联邦A区|2室2厅
城南名著 套三单卫 有阳台 不临街|140|103|城南名著|3室2厅
融城理想套四+花园+地下室+阳台+南北朝向|330|170|融城理想|4室2厅
