南城都汇一期汇翠园+清水+朝南|165|101|南城都汇汇翠园一期|2室2厅
-高新南区-长信公寓-南北朝向-有装修-有家具家电-|76|77|长信公寓|2室2厅
高新区梧桐世家 朝北小套二 户型方正 需重新装修新上|85|62|梧桐世家二期|2室1厅
高新区 玉馨苑 户型方正 有装修 楼层|120|94|玉馨苑|3室1厅
长信公寓-套二-有装修-有家具家电-朝东-带楼顶|67|72|长信公寓|2室1厅
复地雍湖湾套四双卫，东西通透，客厅带阳台，位置安静|430|169|复地雍湖湾|4室2厅
高新区，中海兰庭.有装修，业主自住|195|95|中海兰庭|3室2厅
远大都市风景四期 装修套三 带露台|160|112|远大都市风景四期|3室2厅
天鹅湖花园  清水套三   朝南  看天鹅湖江滩公园|250|200|天鹅湖花园|3室2厅
 套三 有装修 有家具家电 带车位(20.7㎡） 不临街|152|115|城南名著|3室2厅
中庭大套四 有装修 带家具家电出售 产权满2年|470|225|神仙树大院三期|4室2厅
英郡三期，套四双卫，满两年，看房方便|210|135|英郡三期|4室2厅
天鹅湖花园 带装修 送车位  朝南 变四居室|300|207|天鹅湖花园|3室2厅
牡丹御园 套三带书房 有阳台不临街 有装修 看房有钥匙|142|118|牡丹御园|3室2厅
软件园 英郡三期 精装修空房 未住过人|160|86|英郡三期|3室2厅
龙湖世纪峰景 141平套三双卫 有装修 高楼层 330万|330|141|龙湖世纪峰景|3室2厅
天府长城嘉南地套三  有装修 有阳台|263|131|天府长城嘉南地|3室2厅
神仙树馨苑 无装修 清水套三双卫 |180|138|神仙树馨苑|3室2厅
城南名著 装修套二 客厅朝南 带阳台 |110|87|城南名著|2室2厅
南城都汇2期 全新精装修 满两年无增值税|226|123|南城都汇汇雅园二期|3室2厅
中海名城三期 标准三房双卫 楼层好|248|128|中海名城三期|3室2厅
南城都汇 带入户花园 无按揭 朝南 无增值税|168|92|南城都汇汇翠园一期|2室2厅
名人苑 套四 有阳台 有装修 无家具家电 朝北|157|143|名人苑|4室4厅
融城理想清水套三带入户花园中间楼层朝东南|220|133|融城理想|3室2厅
天府花园 朝南 有装修 4房2厅3卫|223|201|天府花园二期|4室2厅
半岛城邦二期，位置安静，朝小区中庭，赠送面积大！|345|134|长城半岛城邦二期|4室2厅
誉峰一期， 客厅  主卧东南向。|666|223|誉峰一期|4室2厅
南城都汇一期一楼带花园，有装修套二，朝南|179|92|南城都汇汇翠园一期|2室2厅
南城都汇四期装修小三房中低楼层|165|87|南城都汇汇尚园|3室1厅
装修套二  拎包入住  安静对中庭|98|75|鸿阁一号|2室2厅
装修套二  拎包入住  安静对中庭|98|75|鸿阁一号|2室2厅
建发天府清水                 套三|240|119|建发天府鹭洲|3室2厅
龙湖世纪峰景 套三 正看新会展天鹅湖 安静不临街|237|129|龙湖世纪峰景|3室2厅
逸都国际 不临街 有装修套二 看房方便+15万车位出售|130|89|逸都国际|2室2厅
汇智园眼镜户型+简装房+随时看房|150|89|南城都汇汇智园二期|2室2厅
美年广场美岸 套三双卫 有装修 带家具家电|186|86|美年广场美岸|3室2厅
尚郡套二有装修 主卧带衣帽间 视野好新上|152|76|尚郡|2室2厅
中德 装修套二  满两年不临街|105|58|中德英伦联邦A区|2室2厅
维多利亚，有装修套三，不临街，房东在成都，方便签约|210|126|新里维多利亚公寓|3室2厅
新里维多利亚公寓 两居室 有装修不临街 带阳台|155|87|新里维多利亚公寓|2室2厅
建发天府鹭洲，清水套二，朝南。|140|64|建发天府鹭洲|2室1厅
中海翠屏湾套二带衣帽间，朝北对网球场|156|89|中海翠屏湾|2室2厅
世纪城天鹅湖花园标间出售 有装修|70|54|天鹅湖北苑|1室0厅
中海名城 顶跃带2个花园 有装修 客厅挑高 有电梯|480|252|中海名城一期|4室2厅
天府世家  业主自装 不临街 可拎包入住新上|650|177|天府世家|4室2厅
中海兰庭，顶跃带花园，精装修，正朝南房主自荐|305|141|中海兰庭|3室2厅
高 新 区 中 海 兰 庭 J 户 型 套三单卫|228|88|中海兰庭|3室2厅
顶跃带屋顶花园 有搭建 不临街  朝西南 |248|160|国际花园|4室2厅
 漂亮装修房 位置好 楼层适中 看绿化很舒服  |640|182|南苑小区A区|4室2厅
南北通透格局 中间位置 楼层好 视野开阔 |280|131|中海名城三期|3室2厅
城南名著 二室一卫 不临街 户型方正有装修有阳台 朝南新上|125|84|城南名著|2室2厅
中海翠屏湾精装套三，卧室客厅朝北|163|88|中海翠屏湾|3室2厅
倍特金杏苑B区 电梯三房 卫浴全明|180|142|倍特金杏苑B区|3室2厅
套二户型，客厅朝西对着小区网球场|160|81|中海翠屏湾|2室2厅
此房是满两年的，无增值税。双证齐全，放心交易。|72|58|鸿阁一号|1室2厅
城市春天    套三双卫有花园|240|120|城市春天|3室2厅
天府世家  装修房   此户型是三居室，   产权满2年|435|136|天府世家|3室2厅
格林君典套二客厅带阳台 有装修|100|78|格林君典|2室2厅
标准套三双卫，中低楼层，有装修。|115|100|怡丰花园|3室2厅
城南名著 套二 有装修 有家具家电 不临街|116|86|城南名著|2室2厅
泰和佳园套二 有装修 满两年 中间楼层|125|91|泰和佳园|2室2厅
保利心语四期，产权132.6平米跃层，装修出售，|330|132|保利心语花园四期|5室2厅
青云阁 三房 带装修 中间楼层 户型方正 |230|140|青云阁|3室2厅
英郡一期   精装修套三双卫带衣帽间 通透户型新上|247|148|英郡一期|3室1厅
位置安静，户型方正，住家精装修。房主自荐|188|88|南城都汇汇尚园|2室2厅
牡丹御园套三，客厅主卧朝南，户型方正|118|115|牡丹御园|3室2厅
英郡三期 2室2厅 135万|135|81|英郡三期|2室2厅
领馆国际城 清水套四 朝向中庭|178|136|领馆国际城|4室2厅
汇馨园装修套二，有入户，有钥匙，看房方便|147|89|南城都汇汇馨园三期|2室2厅
英郡一期 精装修套三双卫带书房 通透户型无遮挡|280|147|英郡一期|3室1厅
套四双卫，不临街，客厅 带阳台，有装修，|175|148|城南名著|4室2厅
瑞升花园 一室一厅有装修 有家具家电 方正户型 不临街房主自荐|65|55|瑞升花园|1室1厅
美洲花园密苏里小城 叠拼 清水房 套四 带阳台花园|270|188|美洲花园二期|4室3厅
高新区 大源 华润凤凰城 装修套二 出售|210|90|华润凤凰城一期|2室2厅
朝南，有视野，有装修套三，客厅带阳台|200|132|王府花园|3室2厅
